customer Details,Overall Ratings,summary,Likelihood,pros and cons 
"Verified Reviewer
Insurance, 10,001+ employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Zoom Video Webinar
Oct 10, 2018",8.0/10,"Pros: What I like most about this software is the ability to see all users in the video chat on the screen at once. This makes the session feel more like a live session rather than only seeing one speaker at a time.
Cons: We have had a few glitches with the software not being able to handle our number of participants. We are currently working on getting the issue resolved though.
Overall: Great experience, bit pricey of software though."
"dee w.
specialist
Health, Wellness and Fitness, 10,001+ employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Best Ever!
Oct 10, 2018",10.0/10,"Pros: Video Conferencing made EASY! I'm able to simply use a link to send to those participating and they can join with just 1 click!!!
Cons: No cons, this app does all that i could ask and more."
"Rosemary W.
Founder
Non-Profit Organization Management, 1-10 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","An ok platform
Oct 10, 2018",7.0/10,"Pros: It's fairly easy to get up and running for most folks. Ok range of options.
Cons: Kind of slow and spotty access for users in low-bandwidth areas.
Overall: I've been to webinars on lots of platforms and Zoom definitely holds up in the more positives than negatives category. A little hard to access if you live with slow internet speeds. Not as many handy features as CrowdCast (my favorite by far)."
"allan t.
Consultant senior en technologie de l'information
Information Technology and Services, 1001-5000 employees
Used the software for: 1-2 years
Reviewer Source 
Source: GetApp","5/5
Overall","Create you webinar at zoom speed
Oct 10, 2018",10.0/10,"Pros: Zoom is an easy and very simple plateform to build your webinar. Everything is web and cloud based and it works with many cams also. It works with all web client on client side.
Cons: Because it is easy and simple it may lack of advanced settings like training possibilities and integration with scorm solutions. But if you are not using scorm solution it won t matter for you."
"Verified Reviewer
Environmental Services, 1-10 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom video
Oct 10, 2018",10.0/10,"Pros: Zoom video is the best video conferencing system out there. It is the most reliable, high-resolution and tech friendly. It is very user friendly and reasonably priced!!!!
Cons: I don't dislike anything! It is a lifesaver in our office!
Overall: I have only had great experiences with Zoom video. I have recommended it so several clients."
"Nick C.
Housing Specialist
Government Administration, 501-1000 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Fantastic way to run a webinar, easy for everyone involved
Oct 10, 2018",9.0/10,"Pros: I loved the ease of use when it came to running webinars. We utilized this feature to run webinars for up to 100 people at a time, and we had no issues with people registering or downloading the software. The connection was almost always good, and there were great features like chat and Q&A that were easy to use as well. We didn't use the features that included registering through Zoom, we had our own landing pages to register, but it's nice to be able to have that feature available. I also appreciated the analytics reports that came with the webinar.
Cons: The analytics reports weren't exactly the most user friendly, they just came in excel sheets. It would be nice to have a more well designed report that was easy to share. Other than that I had no real issues with it, I found it to be easy to use for hosts and attendees!"
"Andrew M.
Senior Financial Analyst
Higher Education, 51-200 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Great Collaborating Tool with No Issues
Oct 10, 2018",10.0/10,"Pros: Zoom has been fantastic. As long as we have a solid internet connection, the software itself works great. Really works well for those that don't have Zoom either. Sending links to the meetings gets everyone on board quickly. It also integrates with Slack and Google Calendar which have been HUGE for our organization. The share screen ability also helps a lot!
Cons: None so far! Everything works great for us!"
"Alicia M.
BRIDGE Area Director
Philanthropy, 11-50 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Best Option for Video Conferencing
Oct 10, 2018",8.0/10,"Pros: The platform lets me share my screen or even what's on my phone or tablet. Works GREAT on a MacBook. The built in breakout rooms are fantastic.
Cons: The recording feature could be a little easier to use.
Overall: As we cannot always meet with donors face to face, Zoom is a great platform for connecting with them virtually."
"Timothy D.
VP
Medical Practice, 11-50 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Simple Ease of Use combined with innovative and robust features
Oct 10, 2018",10.0/10,"Pros: See above title. Zoom took a stale industry and revitalized it. Want to share your screen on audio or video conference with someone an ocean and continent away? Want it to be for free? Want it to not crash at unpredictable, important and multiple times? Want to not share your screen but simply treat this conferencing communication like an international phone call? Then Zoom Video Conferencing is your answer to any and all of the above questions.
Cons: I wish I had heard about Zoom many years before I had heard about it. It would have made business communication much more frequent and simple to use.
Overall: So far, I have yet to deal with customer service because I have not had the need to reach out to customer support on any issues. I am also a frequent user with high standards of what I expect a technology company to deliver their loyal customers. Zoom, if you are reading this, keep up the innovation and reliable communication that consistently delivers quality sound and video performance unmatched by competitors I've tried."
"Ali L.
Owner
Photography, Self-employed
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Only Webinar Service You Should Be Using
Oct 11, 2018",10.0/10,"Pros: This service is really great. I didn't have to sign up for a username. I really don't have to do anything but click on a link to get going! It's made meeting with people digitally so easy! I'll never use anything else.
Cons: I haven't found anything I don't like about this software. It's really great!"
"Verified Reviewer
Music, Self-employed
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","3/5
Overall","Nice tool for online meetings and tutoring
Oct 12, 2018",5.0/10,"Pros: I used Zoom to provide online one-on-one sessions, it worked well and was easy to install and log in
Cons: it was lacking on the sound side of things - could not properly play my computer audio as well as the mic even after installing the dedicated driver
Overall: its a great tool if you are only using the microphone and you don't need any additional sounds"
"Verified Reviewer
Retail, 10,001+ employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Interactive Audio & Video Conferencing
Oct 12, 2018",9.0/10,"Pros: Since I often conduct training and consultation sessions with new hires, fellow workers, and clients, I explore various conferencing software that have the best performance. Zoom Video Conferencing is one of them. Designed to encourage interaction, Zoom is best for interactive training. This can be used both for one-on-one and group sessions. Each session can have as much as 500 to 1000 attendees! What I like best about Zoom are its screen sharing and call recording features. I also like the whiteboard feature, which can be easily saved for future reference. Its mobile app is great, too, so I can my sessions on mobile.
Cons: Zoom, however, is not ideal for large audiences or for marketing. It would be better if Zoom adds a function that enables easy file-sharing among participants. I hope there's also a way to automate chat-saving. All in all, I like Zoom. It's a good alternative to Skype and other conferencing software."
"Verified Reviewer
Marketing and Advertising, 11-50 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","3/5
Overall","Always having issues with the software
Oct 13, 2018",5.0/10,"Pros: I haven't had the best experience so far but I guess I like that they're customer service is on par!
Cons: I've had issues a few times with calling in.

I'm hoping to keep using this a few more times and hopefully I'll learn to like it."
"Verified Reviewer
Hospitality, 51-200 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Best Video Conferencing App
Oct 15, 2018",10.0/10,"Pros: Very simple to use, it seems to be designed so that anyone can easily figure out how to use it.
Cons: the app/plug-in/zoom rooms app require a manual maintenance for updates, and if one of the apps for a user is not up to date, the outlook plug in stops working properly because it cant talk to the app."
"Verified Reviewer
Construction, 1-10 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Great bit of kit
Oct 16, 2018",10.0/10,"Pros: This is by far the best video conferencing sofware I've seen and come across. I particularly found the screen sharing function excellent. The level of detail that you can physically see on the other side is outstanding.
Cons: Haven't found any problems with this. Overall it's great and the best I've seen. I was introduced to this sofware via a friend who works remotely and he claims it's the best he's seen too."
"Verified Reviewer
Research, 11-50 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Decent software for video conferencing
Oct 16, 2018",8.0/10,"Pros: Easy great software to use, never had Any issues when using with my clients
Cons: It's so user friendly I don't have anything that is negative or a con."
"Verified Reviewer
Computer Software, 11-50 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Very easy to use & extremely convenient
Oct 17, 2018",10.0/10,"Pros: Simplicity and convenience. First time users too can do it quickly. And it is very convenient to use be it from the phone, iPad or the browser. Much lighter than Skype or other such products.
Cons: Nothing really. It delivers what is expected of this kind of a tool.
Overall: We have been using it for our calls across continents and find it very simple to use and it is not a bandwidth hungry software either. So voice quality is very clear. Never experienced a call failure."
"Verified Reviewer
Education Management, 501-1000 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Lovely and useful solution
Oct 17, 2018",9.0/10,"Pros: That I've already found it! It's very easy to use, looks trendy, with clean and (almost) ""invisible"" interface.
Cons: Yesterday evening I've tried to buy the Zoom Webinar product. Today, when I wanted to finish the frocess, on this site https://zoom.us/account/billing/buy_subscription

was written: ""405 Method Not Allowed""

Zoom might be helpful and write nt only the problem but the solution too, e.g. You have an unfinished purchase, please go here and here and do this and this.

Anyway, I would love Zoom without this, too :)
Overall: Lovely and useful solution. It's very easy to use, looks trendy, with clean and (almost) ""invisible"" interface."
"Jiahui Y.
store manager
Retail, 10,001+ employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","revolutionised remote work
Oct 17, 2018",10.0/10,"Pros: Clarity of video imaging, interactivity with screen shares, participant management, admin controls even on mobile phone. Availability of support topics and media on their website.
Cons: If we could add ability to keep host's screenshare up during breakout groups, it would make brainstorms easier and more powerful.
Overall: I was a remote trainer for a group of new store manager learning their role and opening stores all over China. Zoom was my best tool and assistant in getting this done. I'm truly grateful to their innovative product!"
"Geraldine S.
Gerente general de proyectos
Computer Software, 1-10 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Best video conference tool ever
Oct 17, 2018",8.0/10,"Pros: My company works with remote assistance so zoom has become my right arm for everything with zoom i can schedule the meething with clients in a sap the support team of zoom its very very good and thas somthing that sets the diference with other tools
Cons: the only thing that makes me sad about zoom its the time of meeting cause on the free account you can only have 40 min reunions
Overall: My number one ally for my remote assistance company"
"Verified Reviewer
E-Learning, 11-50 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom is an application focused on facilitating group online meetings between people
Oct 17, 2018",9.0/10,"Pros: Up to 100 people can participate in interactive video and another number of people can access the conference without interacting depending on the acquired plan. This allows information to be shared among a considerable number of people. It has shared screen options, excellent video and audio quality. For online education activities the application of Zoom is very valuable
Cons: It only has the support language in English, however, it is an intuitive application so the language does not cause major problems compared to its technological benefits."
"Seema A.
Marketing Officer
Research, 11-50 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","Perfect for Highly Interactive Sessions
Oct 17, 2018",8.0/10,"Pros: Encourages interaction and conversation. Quite easy to add other guests into conversation. Great as a training tool.
Cons: Limited in terms of the number of persons. It's not great for large very audiences."
"Harsh B.
Senior Business Analyst
Computer Software, 501-1000 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","3/5
Overall","A Great Tool for Sharing the documents and files.
Oct 17, 2018",6.0/10,"Pros: Zoom is giving the platform to ask questions with user during the zoom meeting and significant role of this tool in which we can record the conversation and review it latter.
Cons: It's a paid tool even for one month , no trail verson for new users to use this software.

This Software just allows 100 participants."
"Angela M.
Vice President of Operations & Product Technology
Computer Software, 11-50 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","We don't 'have meetings' anymore...we Zoom!
Oct 17, 2018",10.0/10,"Pros: Easily launch face to face meetings with team members, clients and vendors around the world.
Cons: When using the Google Calendar plugin I'd love to customize the templated text that gets added as the description and location.
Overall: Zoom has become part of our culture and the integration with Slack makes it so easy to launch a meeting with remote team members. We don't ask 'can you meet' we just send our Zoom links! The Google Calendar plugin makes it seamless to add our Zoom link to invites. We rarely use our desk phones anymore. Zoom helps us build better relationships with both prospects and clients!"
"Jovana M.
Growth Hacker
Information Technology and Services, 1-10 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Zoom Video Review
Oct 18, 2018",5.0/10,"Pros: It is easy to use and to join the meeting. It is great software that is user friendly.
Cons: Interface and old fashioned desing. It is just to simple.
Overall: Video conference calls, easy, quick and quality."
"Verified Reviewer
Education Management, Self-employed
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","First time user - love it!
Oct 18, 2018",8.0/10,"Pros: I'll admit, I only used this for the first time yesterday. But I'm highly pleased with my experience and here to spread the word! Here are the pros from my experience:

- So easy to set-up. Within 2 minutes, my presentation and video webinar was set up and ready to go. No hassle, no stress.

- There's opportunity for the ""audience"" - I'm not sure if that's what you'd call them - to raise their hand, chat, and interact with the presenter. They can ask questions and easily obtain help.

- You can easily screen share, or show your screen to the individuals you are presenting to or collaborating with.

- There's a free option to start with - it's a great way to introduce yourself to the platform before jumping it in. From what I can tell, it offers a lot of the same great features - a great taste or introduction.
Cons: Due to my limited experiences, I do not have any cons at this point. I cannot speak to customer service or user experience. I do not know much about the experience of the ""audience,"" although all seemed positive. I would note that the bubbles popping up were somewhat annoying. A simple position change may be helpful, but it's not necessary. It is good to receive the notification so that you're aware
Overall: Big fan so far. This seems like it has a lot of potential going forward. It's much more robust than other programs I've tried to use, and the screen sharing feature is awesome."
"Adam S.
Trainer
Health, Wellness and Fitness, 11-50 employees
Review is based on a free trial
Reviewer Source 
Source: Capterra","4/5
Overall","Super handy to have
Oct 18, 2018",6.0/10,"Pros: Smooth, convenient for interviews and reliable.
Cons: Performance could be a bit smoother and interface isn't perfect."
"Verified Reviewer
E-Learning, Self-employed
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","My Zoom Video Conferencing Review
Oct 18, 2018",7.0/10,"Pros: This software is a good one when it comes to live streaming.
I do use it for live tutorials... Very good
Cons: One of it's disadvantage is that it requires good network connections to perform well
Overall: Well, my experience with this has been satisfactory"
"Ruth C.
Product Marketing Manager
Marketing and Advertising, 1-10 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Reliable and easy to use video conferencing
Oct 18, 2018",8.0/10,"Pros: I like how easy it is to invite someone to a call, and also to share your screen with others. I've been using it regularly for the past few months and it seems more reliable that Skype or Hangouts. The quality of the video and audio has also been really good.
Cons: Nothing I don't really like at the moment. It does the job and is reliable."
"Sanchita A.
Software Engineer
Telecommunications, 10,001+ employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","A professional webinar tool for meeting
Oct 19, 2018",9.0/10,"Pros: Zoom Video Conferencing is the one of best tool for webinar meeting with limit of up-to 100 hosts in a single meeting. Zoom also provide the on premise deployment of it. Meeting recording option is also available and one of the very important feature of Zoom Video Conferencing. It also help in screen-share and desktop control. Best feature in Zoom.us is we can share the selected screen and keep the things private while online meeting. It provide this service over different platforms. Pricing planning are also very flexible and can be check at company professional site at zoom.us.
Cons: User interface is very user friendly but the problem occur when you first time connect on the new platform. Like your using the windows based application but when some day you have to jump towards mobile based application is not all same. Zoom have to the sync the application so that a user of windows based application can jump to web or mobile easily. Zoom should also provide the quick demo option at fresh install first login time.
Overall: Zoom is helping in our business to do team & Client meeting. It help use in communication and help us to be on same page even using when connecting remotely. Best option is every user is having freedom to unmute him."
"Priyanka T.
Dentist
Cosmetics, 1-10 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom for online lectures
Oct 22, 2018",9.0/10,"Pros: 1) easy to use 2) good voice quality 3) amazing video quality
Cons: 1) Must work on price points 2) must tackle the issue of participants being able to highlight on screen during lectures.
Overall: good"
"Christen S.
IT Helpdesk
Higher Education, 201-500 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Easy and efficient
Oct 22, 2018",9.0/10,"Pros: I use this video conferencing to solve Helpdesk issues. I love how easy it is for everyone to use. Even people who are not tech savvy.
Cons: There is not I don't enjoy about zoom. If I had to choose I would say that I would like to not have to down the installer when first using Zoom.
Overall: I love it and all of it's features. It's so easy and we have to started to implement it all over campus at my University."
"Verified Reviewer
Computer Software, 501-1000 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Fantastic Video Conferencing and Collaboration Software!
Oct 22, 2018",9.0/10,"Pros: Probably the simplest video conferencing and collaboration tool that I have had the opportunity to use. A colleague had suggested giving this a try after some struggles with connection quality with some of the alternatives to Zoom. After giving this a try I have not found a reason to use anything else. Some of the things I like most: Easy to setup and use, multiple calendar integrations, smooth video and audio with exceptional quality, screen sharing and audience polling. The list goes on I am sure but these are some of the features that kept me as a user.
Cons: I recently tried Zoom as a trial but they have since won me over from the many other conferencing options that I have used. It is still a bit new to me so I haven't really found much not to like."
"Madi M.
Program Services Director
Recreational Facilities and Services, 51-200 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Great video conference software
Oct 22, 2018",10.0/10,"Pros: I like how easy it is to schedule meetings. It's super easy to schedule all my interviews at once and then send the links out to the interviewees. It also connects to my calendar, so I don't forget any meetings!
Cons: Sometimes Zoom switches video of who is talking because another person makes a noise. I wish it could recognize that the person isn't talking, so that the video wouldn't switch people.
Overall: I really enjoy Zoom. I think it's easy to use, and it consistently works better than Skype ever did."
"Verified Reviewer
Biotechnology, 51-200 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","4/5
Overall","Great Solution, Great People
Oct 23, 2018",9.0/10,"Pros: Zoom Rooms has got to be the easiest solution to set up of all conferencing tools. Cost efficient and ease of use, best combination possible.
Cons: We have experienced some audio issues, but since we went hardwire, we have not experienced this issue with our Zoom Rooms.
Overall: Great company and people, I recently started testing Zoom Rooms, so they invited me to their conference and I got to see what all the possibilities with Zoom."
"Verified Reviewer
Computer Software, 51-200 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Excellent and super user-friendly Webinar tool
Oct 23, 2018",8.0/10,"Pros: Zoom Video Webinar actually goes more into ""Pros"" side as it is super easy to use with clear and straightforward functions. it allows recording of calls as an inbuilt function so no need of looking for separate call recorders or add-ons. I have used a free version with limited storage and usage which is still enough for me, and it provides ample space for the paid version too. The interfaces are very clean and uncluttered and the mobile version is also very user-friendly, making meetings on the go hassle-free. Call quality in terms of audio/video is amazing and it gives the host full control to even manage the participants too.
Cons: The only downside of Zoom Video Webinar is that it consumes a lot of data/bandwidth which is still manageable if you are working from an office. I work from home so, this effects me a lot when there are so many meetings at a given month.
Overall: Overall the best call/conferencing experience with Zoom Video Webinar tool. I would like to recommend it to all who are looking for a reliable communication tool with advanced options to suit most of business communication requirements."
"Verified Reviewer
Retail, 1001-5000 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","helps companies function
Oct 23, 2018",10.0/10,"Pros: helps our company function across global offices seamlessly. not only we can communicate via video, we can share presentations, make adjustments and make decisions in real time vs exchanging multiple emails.
Cons: very rarely, zoom has connection and sound issues. usually, those issues resolve by themselves within 10-15 mins which is fast, but still causes inconvenience.
Overall: helps connect our global offices"
"Jennifer F.
CEO and Founder
E-Learning, 1-10 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom into better relationships
Oct 23, 2018",10.0/10,"Pros: Zoom makes video meetings intuitively easy. I use Zoom for my online classroom meetings. Sometimes everyone shows up on video, sometimes most are phone only, and I had one group that did nearly everything on the chat even though a couple of them were on video. Most of my students find it simple to share their screens too, which is the best kind of learning and presenting experience. As a teacher and podcaster, I really like being able to record on separate audio tracks. But the BEST bit is that there are international phone numbers so my international students can call in if they need to.
Cons: I had to think long and hard to come up with something, but I would like to be able to have a more flexible license/pricing bundle to accommodate times when I want to allow multiple instructors to use my account and record classes.
Overall: I use Zoom for client meetings, networking meetings, class meetings, and for podcasting (video and/or just audio). Whenever I've had a problem or wanted to do something new, the customer service has been exceptional. Their interface is much more intuitive and friendly than other video meeting software. I highly recommend Zoom!"
"Jess H.
IT Help Desk Technician
Wholesale, 1001-5000 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Fantastic! Unless your iPad is dead...
Oct 23, 2018",9.0/10,"Pros: Great software! The video quality is great, and if your hardware is up to snuff the audio is too. It's easy to set up your meetings and invite your attendees, and having a one-click link that the other users can use to get into the meeting makes it as simple as it can be!
Cons: We have had our iPad die on us once or twice, and without the iPad it seems the software is useless. Couldn't start the meeting without it.
Overall: It's great! We use it for all of our large-scale video communications, as we use Skype for Business for our individual users."
"Marcy H.
Instructional Designer / Learning Experience Designer (LED)
Professional Training & Coaching, 5001-10,000 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","4/5
Overall","First day to use Zoom Video Conferencing, I'm hooked!
Oct 23, 2018",10.0/10,"Pros: connection stability

seamless transition between features

excellent video and audio quality

extremely friendly user interface

super easy first time set up!

finally, a virtual work meeting that went smoothly and allowed us to be productive rather than troubleshoot connection issues!
Cons: I haven't used Zoom Video Conferencing enough YET to say, if I had to say something, it's that I had trouble find the Leave Meeting button at the bottom right, but that's a one time issue and was the only least thing I liked so far. I have not yet schedule a meeting using Zoom, only attended, so I cannot speak to the Host scheduling part of it.
Overall: I had my first video conferencing using Zoom today & it was unbelievable! The UI has large icons/buttons that made it easy for me to quickly know where to click to mute myself, start my video, open the chat window and so much more. I loved how when the host shared the screen, all the participant windows shrunk to the side but we were still able to clearly see other without buffering or lag time. It was extremely seamless as the host moved from her video cam, to sharing her computer screen and then another attendee wanted to share her screen and just like that, without any delay, buffering, fumbling around trying to find what to click - her screen showed, again, no lag time or lost connection! This is now my favorite video conferencing tool! And I've used almost all of them, but this one is innovative and allowed for a productive meeting, while others I've used seem to have declined in usability over the years and too much time is wasted trying to resolve connection issues. Zoom Video Conferencing video and audio quality was excellent, multiple audio options (call out, call me, computer audio), similar to the competitors. It's an all thumbs up from me for Zoom Video conferencing! I actually am looking forward to our next virtual meeting!"
"Shilpa H.
Technical Project Manager
Computer Software, 5001-10,000 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","Very easy and second most widely used conferencing tool at work
Oct 23, 2018",8.0/10,"Pros: -Very reliable video conferencing. I mainly use for video chat, screen sharing and record conversations

Options are very easy to understand and use even for the beginners
-Easy to manage participants
-During brown bag sessions I can easily mute everyone to avoid unwanted disturbances
-Other features like 'Play Entry/Exit Chime' may sound simple things, but these alerts are very handy when you are muted and working on something and have forgotten you are signed in to the call
-Private messaging or message everyone is very useful and we use that feature when discussing on the talk or ask questions.
-I have used it to review documents with globally distributed family.
-Desktop video clarity is amazing
-I have used Advanced sharing options where I can choose between sharing one or multiple participants and also able to control who can share.
-Their online help is very extensive and helpful for beginners
Cons: Free version is available only for 40 min and logs out the users once the time is reached.

-Mobile version screenshare is not very impressive, I have had audio and video clarity issues
-If I want to just take the zoom call from my phone for muting my laptop video, it was challenging to find the dial-in number. Would have been good to show the dial-in number when user logs in or joins conference.
-Need a way to hand over the meeting to another host
- A good to have feature where I can take screenshots and save them on my machine rather than recording entire session"
"Ariëlle V.
Wellness Lifestyle Coach at ARIVER
Health, Wellness and Fitness, Self-employed
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom Pro
Oct 23, 2018",10.0/10,"Pros: The ease of use and the professional set up. The quality of the webinar set up and delivery is second to none. The customer support was excellent as well. The ability of storing your webinars in a cloud based app. I think this platform is the best of all webinar apps out there.
Cons: There's a bit of a learning curve of how everything works. The difference of a meeting vs a webinar and according plans that go with its functionality.
Overall: I was able to set up and deliver professional webinars for my business with relative ease and customer support."
"N. Jordan L.
Off-Centered Sales Representative
Food & Beverages, 201-500 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Great video conferencing for online meetings
Oct 23, 2018",9.0/10,"Pros: Simple way to conduct meetings that require video, audio, and the ability to share screens with the group. It is very easy to use, and works better than others I have used.
Cons: The audio can sometimes be a challenge and require a backup conference call number.
Overall: Clean, simple, and useful tool for online meetings."
"Verified Reviewer
Media Production, 201-500 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","Best software for video conferencing
Oct 24, 2018",7.0/10,"Pros: The best part of thing software is sharing of screen with other meeting participants without any hassel. Meeting can be setup within few seconds and the user can join it from mobile,laptop etc by only going over 2-3 steps.
Cons: The only issue i got is the time span of meeting. It needs to be increased.
Overall: I am using this from past a year and its really helpful for me."
"Verified Reviewer
Management Consulting, 201-500 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom
Oct 24, 2018",10.0/10,"Pros: Zoom is great for having virtual meetings. It allows you to see the screen share and video at the same time, enhancing participation during virtual meetings. Host capabilities are very strong, allowing for the assignment of alternate hosts. Chat features are great to allow participation during meetings and the host can set for chat to be private (to host only) or to the full group.
Cons: Sometimes links expire for meetings scheduled in the past. It would be great to be able to re-use a link."
"Ravi R.
Executive Coach & Owner
Professional Training & Coaching, Self-employed
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Easy to use and inexpensive!
Oct 24, 2018",10.0/10,"Pros: Very easy to use, with a persistent meeting room URL. Great for meeting with non-tech savvy people.
Cons: The video/audio quality is good, but occassionally jittery. I wish the software had better adaptive video/audio quality settings to deal with people joining Zoom meetings on unstable internet connections.
Overall: Very happy paying customer."
"Chelsea L.
Director of Operarions
Retail, 1-10 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Great video platform for clear conferences
Oct 24, 2018",10.0/10,"Pros: Multi/user clear options and free for end users to join in.
Cons: The default login takes over your screen."
"Julia M.
Leader
Telecommunications, 201-500 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Meeting place with a purpose
Oct 25, 2018",10.0/10,"Pros: The flexibility of dialing in with computer or phone. Specific link to join is the best way to have a class without interruptions. If you happen to have a large group or unfamiliar guests this webinar will allow you to see who is contributing by bringing profile forward. This is not just a great for meetings but is one of the best ways to team build.

Screenshare is easy to function and has a very nice view not distorted like other applications claiming similar features.
Cons: first time the meeting minimized it took me a bit to find it.
Overall: This has been a valuable tool for team discussions and training classes. It allows for a more interactive session. Scores are higher when can be more involved with the information to easily be shared and brought into the session without delay."
"Sachin K.
Group Lead
Computer Software, 501-1000 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","4/5
Overall","Zoom - Awewome features and functionality
Oct 25, 2018",9.0/10,"Pros: Zoom is my basic need in my company.

I use to do remote conference and customers meetings with it. It is very helpful in all essence. Very easy to setup and use.

I cannot imagine a great conference call without this tool. It has very great features and stability. Good audio and video quality.

I recommended this to many organizations during my meetings.
Cons: There is nothing much to dislike it. The only point I want to.mention here is that we need a stable and strong internet connection to use this otherwise we see some discrepancy during meetings.
Overall: I use to make remote conference with my US team and customers. I love this tool and recommend to others as well."
"Amani I.
Marketing Manager
Computer Software, 51-200 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Excellent Conferencing Tool!
Oct 25, 2018",10.0/10,"Pros: Zoom is an excellent tool for meetings. It is easy to log in and doesn't require any technical knowledge to have it setup. Zoom allows recording and also let's the other people know that the call is being recorded. The 'sharing screens' feature allows anyone in the meeting to share their screen to rest of the participants thus helping us do demos efficiently. The host having the ability to mute the participants when required also saves the hassle of unnecessary sound distractions from participants' environments. Every host has a permanent link which can be saved by the participants and used for meetings at any given time. The free version allows up to 40 minutes which is ample time to conduct quick and important meetings.
Cons: There is nothing I don't like about Zoom. Absolutely the best of all the conferencing tools I have used.
Overall: I have been using for almost 2 years. This has been by far the most convenient conferencing tool for me and everyone in my team. I have not only used Zoom to conduct meetings but also to record video tutorials that I can share with the team. When we have client meetings the sharing screen option helps me greatly in showing them the insights and more information without actually having them to login to my system. The ability to record has saved us the trouble of repeating the meeting for a missed participant, or pester a colleague to update us on the missed meeting."
